Player,Team,Pos,Min,Shots,UnAst.Percent,G,xG,G_xG_diff,KP,A,xA,xG_xA_sum,Touch.Percent,Year
Saer Sene,NE,M,1316,41,0.146,5,4.71,0.29,15,4,1.3,6.01,0.084,2013
Sam Cronin,SJ,M,3169,28,0.25,2,1.73,0.27,34,4,4.34,6.07,0.104,2013
Matias Laba,TOR,M,1499,7,0.429,1,0.74,0.26,10,0,0.78,1.52,0.117,2013
DeAndre Yedlin,SEA,D,2903,13,0.615,1,0.74,0.26,18,1,1.65,2.39,0.103,2013
Khari Stephenson,RSL,M,852,21,0.095,1,0.75,0.25,3,1,0.29,1.04,0.089,2013
Dan Paladini,CHI,M,908,12,0.667,2,1.75,0.25,19,2,1.66,3.41,0.104,2013
Edson Buddle,COL,F,1749,56,0.268,5,4.75,0.25,21,3,1.74,6.5,0.065,2013
Adam Jahn,SJ,F,1167,29,0.069,4,3.75,0.25,14,0,1.12,4.87,0.079,2013
Amobi Okugo,PHI,D,3081,25,0.04,3,2.77,0.23,4,2,0.25,3.02,0.09,2013
Tristan Bowen,CHV,F,1271,32,0.344,2,1.77,0.23,13,2,1.72,3.49,0.086,2013
Ryan Guy,NE,M,675,10,0,1,0.78,0.22,5,0,0.44,1.21,0.077,2013
Alvaro Rey,TOR,M,811,12,0.25,1,0.78,0.22,16,1,1.26,2.04,0.096,2013
Drew Moor,COL,D,3023,18,0.278,3,2.83,0.17,3,0,0.37,3.2,0.094,2013
Bright Dike,TOR,F,447,7,0,1,0.83,0.17,6,0,0.36,1.2,0.064,2013
Je-Vaughn Watson,FCD,M,1504,20,0.35,2,1.83,0.17,11,2,1.17,3.01,0.091,2013
Kyle Porter,DCU,M,1685,41,0.146,3,2.84,0.16,31,0,2.58,5.41,0.089,2013
Jorge Villafa–a,CHV,M,1510,16,0.188,1,0.85,0.15,12,4,1.03,1.88,0.091,2013
Dilly Duka,CHI,M,1860,62,0.242,4,3.87,0.13,31,3,4.21,8.08,0.093,2013
Aaron Wheeler,PHI,F,177,8,0,1,0.87,0.13,3,1,0.47,1.34,0.097,2013
Ben Speas,CLB,M,1002,18,0.278,1,0.87,0.13,12,1,1.23,2.1,0.08,2013
Sheanon Williams,PHI,D,3070,14,0.071,2,1.89,0.11,28,5,3.71,5.6,0.11,2013
Corey Hertzog,VAN,F,436,8,0.25,1,0.9,0.1,2,1,0.21,1.1,0.077,2013
Brad Davis,HOU,M,2308,40,0.35,4,3.91,0.09,56,8,6.98,10.9,0.107,2013
Jalil Anibaba,CHI,D,3249,16,0.188,1,0.92,0.08,20,0,1.52,2.44,0.105,2013
Djimi Traore,SEA,D,2379,9,0.333,1,0.93,0.07,0,0,0,0.93,0.085,2013
Oriol Rosell Argerich,SKC,M,2864,24,0.417,1,0.94,0.06,23,1,0.99,1.93,0.109,2013
Thierry Henry,NYRB,F,2697,92,0.185,10,9.95,0.05,70,8,8.73,18.68,0.084,2013
Atiba Harris,COL,F,2221,51,0.137,5,5,0,32,1,2.67,7.67,0.084,2013
Carlo Cudicini,LA,GK,2004,0,,0,0,0,0,0,0,0,0.055,2013
Marcus Hahnemann,SEA,GK,386,0,,0,0,0,0,0,0,0,0.056,2013
Jimmy Nielsen,SKC,GK,3281,0,,0,0,0,0,0,0,0,0.056,2013
Nick Rimando,RSL,GK,2589,0,,0,0,0,1,0,0.09,0.09,0.062,2013
Jon Busch,SJ,GK,3178,0,,0,0,0,1,0,0.06,0.06,0.072,2013
Chris Albright,PHI,D,13,0,,0,0,0,0,0,0,0,0.079,2013
Matt Reis,NE,GK,1165,0,,0,0,0,0,0,0,0,0.073,2013
Joe Cannon,VAN,GK,961,0,,0,0,0,0,0,0,0,0.061,2013
Donovan Ricketts,POR,GK,3081,0,,0,0,0,1,0,0.04,0.04,0.051,2013
Robbie Russell,DCU,D,12,0,,0,0,0,0,0,0,0,0.084,2013
Clyde Simms,NE,M,714,0,,0,0,0,3,1,0.29,0.29,0.083,2013
Jaime Penedo,LA,GK,855,0,,0,0,0,0,0,0,0,0.061,2013
Luis Robles,NYRB,GK,3273,0,,0,0,0,0,0,0,0,0.062,2013
Matt Pickens,COL,GK,103,0,,0,0,0,0,0,0,0,0.041,2013
Andy Gruenebaum,CLB,GK,2021,0,,0,0,0,0,0,0,0,0.072,2013
Troy Perkins,MTL,GK,3186,0,,0,0,0,0,0,0,0,0.063,2013
Brad Knighton,VAN,GK,1058,0,,0,0,0,1,1,0.08,0.08,0.083,2013
Sinisa Ubiparipovic,MTL,M,10,0,,0,0,0,0,0,0,0,0.101,2013
Anthony Wallace,COL,D,134,0,,0,0,0,2,0,0.15,0.15,0.103,2013
Chris Seitz,FCD,GK,764,0,,0,0,0,0,0,0,0,0.065,2013
Jason Hernandez,SJ,D,1793,0,,0,0,0,1,0,0.02,0.02,0.074,2013
Charlie Davies,NE,F,38,0,,0,0,0,0,0,0,0,0.077,2013
Ryan Miller,POR,D,375,0,,0,0,0,2,0,0.06,0.06,0.092,2013
Rauwshan McKenzie,POR,D,97,0,,0,0,0,0,0,0,0,0.055,2013
David Horst,POR,D,112,0,,0,0,0,0,0,0,0,0.063,2013
Tally Hall,HOU,GK,3259,0,,0,0,0,1,0,0.07,0.07,0.072,2013
David Ousted,VAN,GK,1243,0,,0,0,0,1,0,0,0,0.067,2013
Michael Gspurning,SEA,GK,2638,0,,0,0,0,1,0,0.11,0.11,0.06,2013
Josh Saunders,RSL,GK,249,0,,0,0,0,0,0,0,0,0.075,2013
Diego Calderon,COL,D,327,0,,0,0,0,0,0,0,0,0.076,2013
Steward Ceus,COL,GK,99,0,,0,0,0,0,0,0,0,0.045,2013
Milos Kocic,POR,GK,193,0,,0,0,0,0,0,0,0,0.06,2013
Michael Videira,CHI,D,85,0,,0,0,0,0,0,0,0,0.094,2013
Andrew Weber,SEA,GK,243,0,,0,0,0,0,0,0,0,0.05,2013
Stefan Frei,TOR,GK,94,0,,0,0,0,0,0,0,0,0.065,2013
Philip Lund,SEA,M,21,0,,0,0,0,0,0,0,0,0.06,2013
Paolo Tornaghi,CHI,GK,572,0,,0,0,0,0,0,0,0,0.073,2013
Bobby Shuttleworth,NE,GK,2210,0,,0,0,0,0,0,0,0,0.072,2013
Josue Martinez,NYRB,F,15,0,,0,0,0,0,0,0,0,0.062,2013
Sean Johnson,CHI,GK,2678,0,,0,0,0,1,0,0.04,0.04,0.067,2013
Michael Thomas,TOR,M,14,0,,0,0,0,0,0,0,0,0.122,2013
Corben Bone,CHI,M,7,0,,0,0,0,0,0,0,0,0,2013
Daniel Antunez,CHV,M,87,0,,0,0,0,0,0,0,0,0.084,2013
Tim Melia,CHV,GK,189,0,,0,0,0,1,0,0.02,0.02,0.087,2013
Jeff Attinella,RSL,GK,441,0,,0,0,0,0,0,0,0,0.076,2013
David Bingham,SJ,GK,94,0,,0,0,0,1,0,0.04,0.04,0.08,2013
Michael Nanchoff,POR,M,14,0,,0,0,0,0,0,0,0,0.049,2013
Alex Dixon,HOU,M,28,0,,0,0,0,2,0,0.17,0.17,0.128,2013
Zac MacMath,PHI,GK,3273,0,,0,0,0,3,0,0.2,0.2,0.071,2013
Joe Willis,DCU,GK,851,0,,0,0,0,1,0,0.05,0.05,0.073,2013
Bilal Duckett,NE,D,96,0,,0,0,0,1,0,0.04,0.04,0.088,2013
Joe Bendik,TOR,GK,3173,0,,0,0,0,0,0,0,0,0.065,2013
Evan Bush,MTL,GK,95,0,,0,0,0,0,0,0,0,0.068,2013
Connor Lade,NYRB,D,181,0,,0,0,0,1,0,0.05,0.05,0.114,2013
Matt Lampson,CLB,GK,1243,0,,0,0,0,0,0,0,0,0.068,2013
Calum Mallace,MTL,M,47,0,,0,0,0,0,0,0,0,0.07,2013
Brian Rowe,LA,GK,382,0,,0,0,0,0,0,0,0,0.078,2013
Greg Klazura,VAN,D,91,0,,0,0,0,0,0,0,0,0.083,2013
Patrick McLain,CHV,GK,132,0,,0,0,0,0,0,0,0,0.088,2013
Clinton Irwin,COL,GK,3062,0,,0,0,0,1,0,0.03,0.03,0.062,2013
Armando Moreno,NYRB,F,5,0,,0,0,0,0,0,0,0,0.112,2013
Bradlee Baladez,FCD,F,33,0,,0,0,0,0,0,0,0,0.054,2013
Michael Seaton,DCU,F,125,0,,0,0,0,1,0,0.05,0.05,0.083,2013
Donald Smith,NE,M,54,0,,0,0,0,1,0,0.11,0.11,0.084,2013
Dylan Remick,SEA,D,28,0,,0,0,0,1,0,0.22,0.22,0.074,2013
Emery Welshman,TOR,F,8,0,,0,0,0,0,0,0,0,0.109,2013
Michael Bustamante,NYRB,M,104,0,,0,0,0,0,0,0,0,0.118,2013
Anthony Arena,HOU,D,78,0,,0,0,0,0,0,0,0,0.072,2013
Brenton Griffiths,COL,D,3,0,,0,0,0,0,0,0,0,0.131,2013
Taylor Morgan,TOR,F,18,0,,0,0,0,0,0,0,0,0.05,2013
Matt Miazga,NYRB,D,19,0,,0,0,0,0,0,0,0,0.059,2013
Jaime Frias,CHV,D,275,0,,0,0,0,1,0,0.01,0.01,0.101,2013
Carlo Chueca,CHV,M,55,0,,0,0,0,3,1,0.16,0.16,0.114,2013
Sam Adekugbe,VAN,D,93,0,,0,0,0,1,0,0.13,0.13,0.118,2013
Roy Miller,NYRB,D,1461,1,0,0,0.01,-0.01,13,1,1.11,1.12,0.112,2013
Yazid Atouba,CHI,M,68,1,0,0,0.02,-0.02,1,0,0.03,0.05,0.065,2013
Steven Kinney,CHI,D,191,1,0,0,0.02,-0.02,1,0,0.09,0.11,0.105,2013
Taylor Kemp,DCU,D,563,1,0,0,0.02,-0.02,6,0,0.34,0.36,0.099,2013
Alexander Lopez,HOU,M,91,1,0,0,0.02,-0.02,4,1,0.85,0.87,0.103,2013
Jimmy Medranda,SKC,M,2,1,0,0,0.02,-0.02,0,0,0,0.02,0.206,2013
Rafael Garcia,LA,M,254,1,0,0,0.03,-0.03,1,0,0.03,0.06,0.078,2013
Jonas Elmer,TOR,D,141,1,0,0,0.03,-0.03,0,0,0,0.03,0.086,2013
Marcelo Saragosa,DCU,M,437,1,1,0,0.03,-0.03,1,0,0.04,0.07,0.102,2013
Shaun Francis,CHI,D,94,1,0,0,0.03,-0.03,1,0,0.05,0.08,0.105,2013
Luiz Camargo,HOU,M,143,1,0,0,0.03,-0.03,0,0,0,0.03,0.087,2013
Dillon Serna,COL,M,16,1,0,0,0.03,-0.03,1,0,0.04,0.07,0.119,2013
Kevin Ellis,SKC,D,118,1,1,0,0.04,-0.04,1,0,0.01,0.05,0.09,2013
Logan Pause,CHI,M,964,1,1,0,0.04,-0.04,6,0,0.24,0.28,0.093,2013
Mark Bloom,TOR,D,573,1,1,0,0.04,-0.04,6,1,0.98,1.03,0.112,2013
Ibrahim Sekagya,NYRB,D,776,3,0.333,2,2.04,-0.04,0,0,0,2.04,0.093,2013
Aaron Schoenfeld,CLB,F,346,10,0.3,1,1.05,-0.05,5,1,0.4,1.45,0.073,2013
Matt Kassel,PHI,M,106,1,0,0,0.05,-0.05,1,0,0.16,0.21,0.114,2013
Brian Mullan,COL,D,1453,2,0,0,0.05,-0.05,24,1,2.2,2.25,0.114,2013
Carlos Salcedo,RSL,D,1139,1,1,0,0.05,-0.05,1,0,0.08,0.13,0.076,2013
Peter Luccin,FCD,M,211,2,0,0,0.05,-0.05,5,0,0.23,0.28,0.111,2013
Walter Vilchez,CHV,D,1027,2,1,0,0.05,-0.05,5,1,0.61,0.67,0.095,2013
Marius Obekop,NYRB,M,93,2,1,0,0.05,-0.05,0,0,0,0.05,0.076,2013
Carlo Franco Chueco del Rio,CHV,M,111,3,0,0,0.06,-0.06,3,0,0.21,0.26,0.127,2013
Alessandro Nesta,MTL,D,2095,2,0.5,0,0.06,-0.06,4,0,0.2,0.27,0.098,2013
Bill Hamid,DCU,GK,2389,1,0,0,0.06,-0.06,0,0,0,0.06,0.068,2013
Ricardo Clark,HOU,M,2657,46,0.196,4,4.06,-0.06,29,4,2.78,6.84,0.091,2013
Bobby Warshaw,FCD,D,171,2,1,0,0.07,-0.07,0,0,0,0.07,0.064,2013
Russell Teibert,VAN,M,1894,29,0.172,2,2.07,-0.07,35,7,3.48,5.55,0.09,2013
Raul Fernandez,FCD,GK,2511,1,0,0,0.07,-0.07,1,0,0.02,0.09,0.075,2013
Kwame Watson-Siriboe,RSL,D,671,1,0,0,0.07,-0.07,3,0,0.18,0.25,0.07,2013
Darrius Barnes,NE,D,461,1,0,0,0.07,-0.07,1,1,0.16,0.23,0.074,2013
Robbie Findley,RSL,F,1323,36,0.194,6,6.07,-0.07,9,1,0.6,6.67,0.066,2013
Roger Torres,PHI,M,89,1,1,0,0.07,-0.07,2,0,0.18,0.25,0.149,2013
Kosuke Kimura,NYRB,D,1716,2,0,0,0.08,-0.08,7,1,0.71,0.79,0.1,2013
Dan Gargan,SJ,D,651,3,0.667,0,0.08,-0.08,1,0,0.1,0.17,0.1,2013
Heath Pearce,NYRB,D,1169,2,0,0,0.08,-0.08,6,1,1.13,1.21,0.102,2013
Josue Soto,CHV,M,1251,3,0.667,0,0.08,-0.08,8,0,0.38,0.46,0.104,2013
Chad Barson,CLB,D,1705,3,0.333,0,0.08,-0.08,9,1,0.99,1.08,0.096,2013
Jaime Enrique Alas Morales,SJ,M,136,1,1,0,0.09,-0.09,3,0,0.18,0.27,0.08,2013
Hernan Bernardello,MTL,M,660,2,0.5,0,0.09,-0.09,9,0,0.57,0.66,0.123,2013
Dejan Jakovic,DCU,D,1669,1,0,0,0.09,-0.09,0,0,0,0.09,0.091,2013
Jay DeMerit,VAN,D,647,2,0,0,0.09,-0.09,1,0,0.07,0.16,0.081,2013
Patrice Bernier,MTL,M,2654,23,0.609,4,4.09,-0.09,25,5,3.2,7.29,0.127,2013
Ashtone Morgan,TOR,D,1926,4,0.5,0,0.09,-0.09,6,1,0.31,0.4,0.101,2013
Dennis Iapichino,DCU,D,1184,3,0.333,0,0.09,-0.09,8,0,0.75,0.84,0.117,2013
Raphael Agusto Santos de Silva,DCU,M,408,3,0.333,0,0.1,-0.1,6,0,0.22,0.32,0.12,2013
Logan Emory,TOR,D,242,1,0,0,0.1,-0.1,3,0,0.18,0.28,0.086,2013
Dan Kennedy,CHV,GK,2973,1,1,0,0.1,-0.1,1,0,0.05,0.15,0.09,2013
Eric Gehrig,CLB,D,574,2,1,0,0.1,-0.1,0,0,0,0.1,0.082,2013
Aaron Maund,RSL,D,297,1,0,0,0.1,-0.1,0,0,0,0.1,0.065,2013
Kevin Harbottle,COL,F,284,3,0.333,0,0.11,-0.11,5,0,0.5,0.61,0.079,2013
Marvin Iraheta,CHV,M,605,3,1,0,0.11,-0.11,1,0,0.02,0.13,0.095,2013
Laurent Courtois,LA,M,392,15,0.267,1,1.12,-0.12,7,1,0.44,1.56,0.09,2013
Brian Ownby,HOU,M,67,3,0.333,0,0.13,-0.13,1,0,0.16,0.29,0.084,2013
Vicente Sanchez,COL,M,644,12,0.667,1,1.13,-0.13,8,3,0.83,1.96,0.1,2013
Tommy Meyer,LA,D,526,1,0,0,0.13,-0.13,1,0,0.02,0.15,0.093,2013
Martin Rivero,COL,M,758,16,0.312,1,1.13,-0.13,18,2,1.45,2.58,0.109,2013
Alex Caskey,SEA,M,462,3,1,0,0.13,-0.13,6,0,0.61,0.74,0.092,2013
Brad Ring,POR,D,290,1,1,0,0.13,-0.13,0,0,0,0.13,0.069,2013
Jun Marques Davidson,VAN,M,2162,4,0.75,0,0.13,-0.13,5,0,0.14,0.27,0.089,2013
Abdoulie Mansally,RSL,D,916,5,0.8,0,0.13,-0.13,5,1,0.59,0.73,0.115,2013
Carlos Borja,CHV,D,2152,2,0,0,0.14,-0.14,6,2,0.64,0.77,0.093,2013
Michael Harrington,POR,D,3148,3,0.333,0,0.14,-0.14,29,1,2.61,2.75,0.11,2013
Gale Agbossoumonde,TOR,D,1156,2,0,0,0.14,-0.14,3,0,0.22,0.36,0.076,2013
Mehdi Ballouchy,SJ,M,135,1,0,0,0.14,-0.14,1,0,0.08,0.22,0.09,2013
Mario de Luna,CHV,D,2792,7,0.286,1,1.14,-0.14,5,0,0.29,1.43,0.088,2013
Mechack Jerome,SKC,D,725,5,0.2,0,0.15,-0.15,5,1,0.44,0.59,0.106,2013
Danny O'Rourke,CLB,M,1822,3,0,0,0.15,-0.15,2,0,0.05,0.19,0.09,2013
Steve Purdy,CHV,D,510,4,0,0,0.15,-0.15,0,0,0,0.15,0.08,2013
London Woodberry,FCD,D,402,1,0,0,0.15,-0.15,1,0,0.07,0.22,0.084,2013
Eriq Zavaleta,SEA,F,52,2,0,0,0.15,-0.15,0,0,0,0.15,0.058,2013
Martin Ponce,CHV,M,194,4,0.5,0,0.15,-0.15,1,0,0.12,0.27,0.109,2013
Don Anding,PHI,D,34,1,0,0,0.15,-0.15,2,0,0.14,0.3,0.076,2013
Leonardo Gonzalez,SEA,D,2552,7,0.429,0,0.16,-0.16,11,1,1.14,1.29,0.112,2013
Josh Gardner,SKC,D,273,3,0.333,0,0.16,-0.16,5,1,0.99,1.15,0.097,2013
Chance Myers,SKC,D,2560,24,0.125,2,2.16,-0.16,27,2,2.73,4.9,0.102,2013
Lovel Palmer,RSL,D,1327,8,0.125,0,0.16,-0.16,3,1,0.51,0.67,0.099,2013
Greg Cochrane,LA,D,902,5,0.4,0,0.17,-0.17,7,0,0.25,0.41,0.094,2013
Ruben Bover Izquierdo,NYRB,M,147,2,0.5,0,0.17,-0.17,1,0,0.09,0.25,0.096,2013
Mike Chabala,HOU,D,173,2,0,0,0.17,-0.17,4,0,0.3,0.47,0.127,2013
Conor Shanosky,DCU,D,378,2,0,0,0.17,-0.17,0,0,0,0.17,0.103,2013
Raymon Gaddis,PHI,D,2870,4,0.25,0,0.18,-0.18,4,0,0.1,0.28,0.103,2013
Kevin Alston,NE,D,557,2,0.5,0,0.18,-0.18,1,0,0.09,0.27,0.098,2013
James Riley,DCU,D,1853,7,0.429,0,0.18,-0.18,17,1,1.01,1.18,0.118,2013
Kellyn Acosta,FCD,D,1068,6,0.167,0,0.18,-0.18,5,0,0.3,0.48,0.11,2013
John Stertzer,RSL,M,42,2,0.5,0,0.18,-0.18,1,0,0.03,0.21,0.111,2013
Bobby Convey,TOR,M,2006,17,0.294,1,1.19,-0.19,36,3,3.06,4.25,0.1,2013
Ryan Richter,TOR,D,1202,7,0.286,0,0.19,-0.19,7,1,0.91,1.1,0.125,2013
Marcus Tracy,SJ,F,79,2,0.5,0,0.2,-0.2,0,0,0,0.2,0.164,2013
Matteo Ferrari,MTL,D,2996,8,0,1,1.2,-0.2,3,1,0.63,1.83,0.098,2013
John Bostock,TOR,M,419,5,0.2,0,0.2,-0.2,5,0,0.32,0.52,0.112,2013
Wil Trapp,CLB,M,1482,8,0.625,0,0.21,-0.21,21,1,1.65,1.86,0.111,2013
Nigel Reo-Coker,VAN,M,2993,17,0.412,1,1.22,-0.22,34,3,2.64,3.85,0.116,2013
Eric Brunner,HOU,D,957,2,0,0,0.22,-0.22,2,0,0.19,0.41,0.092,2013
Chris Wingert,RSL,D,1886,8,0.125,0,0.22,-0.22,18,0,0.97,1.19,0.112,2013
Terry Dunfield,TOR,M,323,4,0.5,0,0.22,-0.22,1,0,0.06,0.28,0.124,2013
Marco Delgado,CHV,D,1337,6,0.5,0,0.23,-0.23,7,1,0.86,1.09,0.111,2013
Andy O'Brien,VAN,D,1481,4,0,0,0.23,-0.23,1,0,0.04,0.27,0.078,2013
Zach Loyd,FCD,D,2281,5,0.4,0,0.24,-0.24,15,0,1.75,1.99,0.115,2013
Pablo Mastroeni,LA,M,618,3,0.333,0,0.24,-0.24,7,1,0.24,0.48,0.11,2013
Marvin Chavez,SJ,M,1119,22,0.5,1,1.25,-0.25,22,0,1.91,3.15,0.085,2013
Peterson Joseph,SKC,M,1273,9,0.444,0,0.25,-0.25,12,0,0.8,1.05,0.091,2013
Maicon dos Santos,CHI,F,441,20,0.35,2,2.25,-0.25,5,0,0.54,2.79,0.09,2013
Scott Caldwell,NE,M,2333,6,0.333,0,0.25,-0.25,17,1,1.03,1.28,0.095,2013
Kamani Hill,COL,F,209,5,0.2,0,0.26,-0.26,4,0,0.43,0.69,0.092,2013
Danny Koevermans,TOR,F,93,2,0.5,0,0.26,-0.26,2,0,0.22,0.49,0.081,2013
Corey Ashe,HOU,D,2754,6,0.333,0,0.27,-0.27,21,1,2.07,2.34,0.111,2013
Bernardo Anor,CLB,M,1751,53,0.151,4,4.27,-0.27,19,0,1.49,5.76,0.096,2013
Danny Califf,TOR,D,375,1,0,0,0.27,-0.27,0,0,0,0.27,0.076,2013
Tony Tchani,CLB,M,1418,9,0.222,0,0.27,-0.27,15,1,1.19,1.47,0.117,2013
Wells Thompson,CHI,D,612,6,0.167,0,0.28,-0.28,2,0,0.15,0.43,0.125,2013
Shane O'Neill,COL,D,2341,8,0.375,0,0.28,-0.28,6,0,0.8,1.08,0.082,2013
Nick LaBrocca,COL,M,1278,27,0.222,1,1.28,-0.28,19,2,1.96,3.25,0.099,2013
Wandrille Lefevre,MTL,D,428,2,0,0,0.28,-0.28,0,0,0,0.28,0.089,2013
Darren O'Dea,TOR,D,1645,13,0.462,1,1.29,-0.29,12,0,1.06,2.35,0.103,2013
Johnny Leveron,VAN,D,1725,8,0.625,0,0.29,-0.29,2,0,0.12,0.42,0.093,2013
Andrew Wiedeman,TOR,F,868,25,0.08,2,2.29,-0.29,8,1,0.65,2.94,0.079,2013
Andy Rose,SEA,M,964,10,0.4,1,1.3,-0.3,4,1,0.37,1.66,0.101,2013
Tony Cascio,COL,F,632,14,0.571,1,1.3,-0.3,7,0,0.41,1.7,0.076,2013
Hogan Ephraim,TOR,M,829,5,0.4,0,0.31,-0.31,7,0,0.67,0.97,0.081,2013
Oscar Boniek Garcia,HOU,M,2025,18,0.389,3,3.31,-0.31,64,4,6.48,9.79,0.108,2013
Marvell Wynne,COL,D,2466,6,0.167,0,0.32,-0.32,17,2,0.87,1.19,0.108,2013
Marc Burch,SEA,D,1245,8,0.375,0,0.32,-0.32,18,4,2.45,2.77,0.099,2013
Samuel Ochoa,SEA,F,190,2,0,0,0.33,-0.33,2,0,0.22,0.54,0.056,2013
Servando Carrasco,HOU,M,1363,13,0.462,1,1.34,-0.34,11,1,0.97,2.31,0.096,2013
Richard Eckersley,TOR,D,1522,8,0.25,0,0.34,-0.34,7,0,0.43,0.78,0.119,2013
Casey Townsend,DCU,F,348,4,0,0,0.34,-0.34,1,0,0.03,0.37,0.079,2013
Jose Manuel Rivera,CHV,F,299,6,0.5,0,0.34,-0.34,2,0,0.12,0.46,0.12,2013
Robert Earnshaw,TOR,F,1974,69,0.261,8,8.35,-0.35,5,0,0.64,8.99,0.052,2013
Andrew Baptiste,POR,D,2305,15,0.4,1,1.35,-0.35,7,1,0.39,1.75,0.084,2013
Jordan Stewart,SJ,D,1149,4,0.5,0,0.35,-0.35,10,0,0.59,0.95,0.107,2013
David Carney,NYRB,D,675,7,0.571,0,0.37,-0.37,6,0,0.66,1.03,0.096,2013
Tony Beltran,RSL,D,2391,9,0.333,0,0.37,-0.37,25,0,1.72,2.1,0.11,2013
Danny Cruz,PHI,M,2237,56,0.232,3,3.37,-0.37,23,2,2.43,5.8,0.074,2013
Marcelo Sarvas,LA,M,3046,53,0.208,4,4.37,-0.37,34,2,2.59,6.96,0.118,2013
Andres Romero,MTL,M,1782,18,0.111,2,2.39,-0.39,26,2,3.15,5.54,0.083,2013
Felipe Martins Campanholi,MTL,M,2468,55,0.164,5,5.39,-0.39,40,5,4.45,9.85,0.083,2013
Chris Klute,COL,D,2870,5,0.2,0,0.41,-0.41,30,7,3.73,4.14,0.111,2013
Matt Besler,SKC,D,2218,6,0.333,0,0.41,-0.41,21,1,2.97,3.38,0.113,2013
Chris Schuler,RSL,D,1542,5,0,0,0.42,-0.42,4,0,0.21,0.64,0.086,2013
Tommy Heinemann,VAN,F,339,7,0.286,1,1.43,-0.43,7,1,0.75,2.18,0.063,2013
Carlos Bocanegra,CHV,D,1149,6,0,0,0.43,-0.43,3,0,0.44,0.87,0.098,2013
Tyson Wahl,CLB,D,2287,3,1,0,0.43,-0.43,20,1,1.24,1.67,0.095,2013
Kalifa Cisse,NE,M,478,2,0.5,0,0.43,-0.43,1,0,0.05,0.48,0.102,2013
Jaime Castrillon,COL,M,411,12,0.083,1,1.44,-0.44,4,0,0.5,1.93,0.065,2013
Alain Rochat,DCU,D,1460,10,0.6,0,0.44,-0.44,9,0,0.86,1.3,0.127,2013
Eddie Gaven,CLB,M,961,7,0.143,0,0.44,-0.44,12,3,0.94,1.38,0.092,2013
Carlyle Mitchell,VAN,D,1267,5,0.2,0,0.44,-0.44,5,2,0.39,0.83,0.083,2013
Leonardo Fernandes,PHI,M,303,6,0.167,0,0.45,-0.45,2,0,0.08,0.53,0.094,2013
Chris Korb,DCU,D,2860,12,0.333,0,0.45,-0.45,23,0,1.52,1.97,0.101,2013
Kyle Bekker,TOR,M,375,11,0.182,0,0.45,-0.45,3,0,0.2,0.66,0.127,2013
George John,FCD,D,2214,13,0.154,2,2.46,-0.46,3,0,0.33,2.78,0.08,2013
Andre Akpan,NYRB,F,170,4,0.25,0,0.46,-0.46,3,1,0.18,0.64,0.087,2013
Conor Doyle,DCU,F,853,23,0.13,2,2.47,-0.47,4,1,0.72,3.18,0.067,2013
Alexandre De Lima,CHI,M,1722,34,0.294,1,1.47,-0.47,25,1,2,3.47,0.097,2013
Kevan George,CLB,M,488,3,0,0,0.47,-0.47,2,0,0.05,0.52,0.081,2013
Jhon Kennedy Hurtado,SEA,D,2395,8,0.125,0,0.47,-0.47,2,0,0.06,0.53,0.078,2013
Austin Berry,CHI,D,3249,14,0.143,1,1.47,-0.47,8,2,1.33,2.8,0.082,2013
Mario Roberto Martinez,SEA,M,539,14,0.643,0,0.47,-0.47,12,0,2.1,2.57,0.1,2013
German Mera,COL,D,633,7,0,0,0.47,-0.47,3,0,0.19,0.66,0.079,2013
Marcos Sanchez,DCU,M,542,6,0.333,0,0.47,-0.47,8,0,0.44,0.92,0.086,2013
Mikael Silvestre,POR,D,737,2,0.5,0,0.48,-0.48,1,0,0.23,0.71,0.088,2013
Daniel Woolard,DCU,D,2354,5,0.6,0,0.49,-0.49,2,1,0.35,0.84,0.095,2013
Collin Martin,DCU,M,380,6,0.667,0,0.49,-0.49,6,0,0.5,0.98,0.082,2013
Federico Higuain,CLB,F,2750,86,0.372,11,11.5,-0.5,118,9,10.04,21.54,0.118,2013
Edgar Mejia,CHV,M,2401,12,0.5,1,1.5,-0.5,36,4,2.77,4.27,0.101,2013
Lionard Pajoy,DCU,F,1220,21,0.286,2,2.5,-0.5,9,0,1.02,3.52,0.05,2013
John Thorrington,DCU,M,1105,12,0.333,0,0.51,-0.51,12,1,0.55,1.06,0.135,2013
Lewis Neal,DCU,M,532,8,0.375,0,0.52,-0.52,8,1,0.43,0.95,0.118,2013
Giles Barnes,HOU,F,2641,94,0.191,9,9.52,-0.52,26,2,2.68,12.2,0.069,2013
Warren Creavalle,HOU,D,1736,22,0.364,3,3.53,-0.53,12,1,1.62,5.15,0.107,2013
Justin Braun,TOR,F,859,12,0.083,2,2.54,-0.54,13,2,1.26,3.79,0.085,2013
Brandon Barklage,NYRB,D,1866,12,0.333,0,0.55,-0.55,16,4,1.89,2.44,0.106,2013
Brandon McDonald,RSL,D,1321,12,0.333,0,0.56,-0.56,0,0,0,0.56,0.097,2013
Jose Leonardo Ribeiro da Silva,LA,D,1207,6,0.5,0,0.56,-0.56,1,0,0.04,0.6,0.077,2013
Ethan White,DCU,D,1150,4,0,0,0.56,-0.56,2,0,0.05,0.61,0.093,2013
Andrew Farrell,NE,D,3092,9,0.444,0,0.57,-0.57,22,0,1.69,2.26,0.11,2013
