Name	Position	Team	Games	Season	Age	Salary	Goals	Assists	Goals_Sixty	Assists_Sixty	CF_Percent	PDO	SH_Percent	CFRel_Percent	CF_Percent	Corsi	CorsiFor	CorsiAgainst	Shots	TOI
Cam.Atkinson	R	CBJ	84	20132014	24	1.125	16	13	0.89	0.73	50.92	100.57	9.41	2.13	48.79	36	993	957	154	1073.76
Cam.Atkinson	R	CBJ	78	20142015	25	1.175	11	13	0.66	0.78	48.19	100.08	7.01	1.17	47.02	-70	931	1001	146	1005.33
Cam.Atkinson	R	CBJ	72	20152016	26	2.5	16	13	1.05	0.85	50.26	98.42	10.6	3.42	46.84	9	863	854	135	912.77
Adrian.Aucoin	D	CGY	83	20072008	34	NA	4	11	0.21	0.57	53.32	104.16	5.88	1.28	52.05	126	1011	885	64	1160.63
Adrian.Aucoin	D	CGY	86	20082009	35	4	6	11	0.29	0.54	55.61	97.31	7.32	0.29	55.32	239	1185	946	76	1224.38
Adrian.Aucoin	D	PHX	88	20092010	36	2.25	5	11	0.22	0.48	54.02	99.7	5.26	3.57	50.45	191	1283	1092	90	1370.03
Adrian.Aucoin	D	PHX	79	20102011	37	1.8	3	13	0.14	0.59	49.76	100.64	3.49	-0.63	50.39	-12	1251	1263	83	1330.92
Adrian.Aucoin	D	PHX	75	20112012	38	2.2	1	9	0.05	0.43	50.91	102.64	1.12	2.51	48.4	42	1171	1129	88	1244.76
Adrian.Aucoin	D	CBJ	36	20122013	39	2	0	4	0	0.47	47.39	99.22	0	0.27	47.12	-43	391	434	24	511.4
Keith.Aucoin	C	CAR	38	20072008	28	NA	5	7	0.73	1.02	59.34	98.97	9.43	8.97	50.37	142	451	309	48	413.01
Keith.Aucoin	C	WSH	12	20082009	29	0.475	1	4	0.52	2.08	59.09	106.52	8.33	1.62	57.47	40	130	90	11	115.49
Keith.Aucoin	C	WSH	9	20092010	30	0.5	1	2	0.85	1.7	47.48	98.13	33.33	-8.34	55.82	-7	66	73	2	70.73
Keith.Aucoin	C	WSH	1	20102011	31	0.5	0	0	0	0	55	100	NA	7.08	47.92	2	11	9	0	5.83
Keith.Aucoin	C	WSH	41	20112012	32	0.525	3	9	0.46	1.37	51.89	103.21	12	6.16	45.73	27	370	343	22	395.54
Keith.Aucoin	C	NYI	47	20122013	33	0.65	5	9	0.56	1.01	51.73	99.8	9.09	1.43	50.3	36	539	503	50	536.27
Keith.Aucoin	C	STL	2	20132014	34	0.625	0	0	0	0	45.95	70	0	3.55	42.4	-3	17	20	1	21.09
Keith.Aulie	D	TOR	40	20102011	21	0.575	2	0	0.18	0	41.59	102.96	7.69	-5.85	47.44	-212	524	736	24	654.41
Keith.Aulie	D	T.B/TOR	36	20112012	22	0.525	0	3	0	0.4	42.48	98.98	0	-4.76	47.24	-125	353	478	18	446.21
Keith.Aulie	D	T.B	45	20122013	23	0.578	2	5	0.22	0.55	46.91	101.55	5.41	0.1	46.8	-62	470	532	35	545.89
Keith.Aulie	D	T.B	16	20132014	24	0.975	0	1	0	0.4	40.07	97.5	0	-10.37	50.45	-53	107	160	6	151.54
Keith.Aulie	D	EDM	31	20142015	25	0.8	0	1	0	0.14	43.9	99.98	0	-5.01	48.91	-95	342	437	25	420.46
Sean.Avery	LR	NYR	65	20072008	27	NA	15	18	1.08	1.29	53.92	102.33	13.04	1.37	52.55	114	784	670	100	834.93
Sean.Avery	LR	DAL/NYR	47	20082009	28	3.5	6	12	0.57	1.14	53.7	99.92	6.32	6.87	46.82	88	639	551	89	631.49
Sean.Avery	LR	NYR	69	20092010	29	4	7	14	0.51	1.02	52.4	98.94	5.47	3.08	49.32	72	787	715	121	827.36
Sean.Avery	LR	NYR	80	20102011	30	4	3	20	0.21	1.39	50	99.01	2.13	1.12	48.88	0	803	803	138	862.83
Sean.Avery	LR	NYR	15	20112012	31	4	3	0	1.72	0	50.29	105.17	20	4.8	45.5	1	86	85	12	104.74
P.J..Axelsson	L	BOS	81	20072008	32	NA	11	11	0.62	0.62	50.82	101.2	11.11	-1.29	52.11	31	958	927	88	1059.23
P.J..Axelsson	L	BOS	85	20082009	33	NA	1	12	0.06	0.75	47.21	98.1	1.49	-3.96	51.17	-94	795	889	66	965.94
Anton.Babchuk	D	CAR	85	20082009	24	1	5	11	0.26	0.57	53.81	98.58	4.9	2.26	51.55	168	1186	1018	97	1160.58
Anton.Babchuk	D	CAR/CGY	81	20102011	26	1.4	3	16	0.17	0.89	51.48	101.52	3.57	0.55	50.94	62	1077	1015	81	1076.98
Anton.Babchuk	D	CGY	32	20112012	27	2.5	1	6	0.16	0.98	46.67	104.07	3.45	-1.78	48.45	-44	308	352	28	365.73
Anton.Babchuk	D	CGY	7	20122013	28	2.5	0	1	0	0.8	40.28	101.04	0	-2.79	43.07	-28	58	86	5	75.3
David.Backes	RC	STL	72	20072008	23	NA	9	14	0.63	0.98	50.44	96.71	8.57	3.28	47.16	12	685	673	96	858.98
